	IS TREATED	PERCENT OF HOUSING CROWDED	PERCENT HOUSEHOLDS BELOW POVERTY	PERCENT AGED 16+ UNEMPLOYED	PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA	PERCENT AGED UNDER 18 OR OVER 64	PER CAPITA INCOME 	HARDSHIP INDEX	Birth Rate	General Fertility Rate	Low Birth Weight	Prenatal Care Beginning in First Trimester	Preterm Births	Teen Birth Rate	Breast cancer in females	Cancer (All Sites)	Colorectal Cancer	Diabetes-related	Infant Mortality Rate	Lung Cancer	Prostate Cancer in Males	Stroke (Cerebrovascular Disease)	Childhood Blood Lead Level Screening	Childhood Lead Poisoning	Gonorrhea in Females	Gonorrhea in Males	Tuberculosis	Below Poverty Level	Crowded Housing	Dependency	No High School Diploma	Per Capita Income	Unemployment	CHANGE IN CRIMES	num old crimes	num crimes	DATE ISSUED
2501	0	6.0	15.3	9.2	24.7	31.0	20039	42.0	18.5	77.7	7.3	74.4	7.5	63.4	16.6	133.9	13.4	52.7	5.7	32.5	37.7	36.0	373.3	0.7	85.3	92.2	10.1	14.6	5.8	30.4	25.7	20489	9.3	-7	42	35	2002-12-10
2502	0	3.8	24.0	8.9	11.8	22.2	35787	20.0	13.1	50.5	8.3	77.7	10.3	35.1	21.3	183.3	20.5	80.0	6.5	50.5	25.2	41.7	353.7	0.5	170.8	468.7	13.6	22.7	4.6	22.2	13.6	32355	7.7	0	0	0	2004-09-08
2503	0	1.1	7.5	6.8	4.9	40.5	44164	11.0	10.0	60.6	7.6	79.3	10.3	6.3	25.0	138.7	14.3	37.2	3.8	27.0	20.3	31.0	160.8	0.0		.	2.2	6.1	1.3	40.6	6.3	41509	5.5	-1	1	0	2017-07-26
2504	0	0.8	12.3	5.1	3.6	21.5	71551	2.0	13.2	38.7	6.6	75.7	7.8	2.1	23.7	152.9	16.7	50.1	2.4	40.0	27.3	35.3	173.3	0.6	50.3	93.1	1.2	11.8	0.6	20.4	4.3	71403	4.5	0	0	0	2015-06-12
2505	0	3.8	20.6	10.7	9.6	22.2	44689	15.0	18.2	55.6	9.0	77.6	10.5	36.7	33.4	202.0	19.2	62.3	9.1	66.2	33.6	43.5	396.7	0.5	629.2	466.5	14.1	21.6	3.8	22.9	11.2	41488	10.7	-3	10	7	2020-10-21
2506	0	1.3	13.8	4.9	7.4	21.8	59077	7.0	21.4	72.9	8.8	78.1	10.9	50.9	31.9	169.0	19.2	61.5	4.8	46.2	51.4	52.4	301.3	0.2	300.6	318.7	5.0	11.1	1.4	21.0	7.1	60593	5.7	-2	6	4	2018-08-08
2507	0	1.1	11.4	4.7	2.6	17.0	60058	5.0	13.5	38.7	6.3	79.1	8.1	15.8	20.1	126.9	13.0	38.5	2.2	32.5	17.0	24.4	179.2	0.4	81.8	357.6	3.2	10.5	1.2	16.5	2.9	58227	4.7	-1	23	22	2007-02-08
2508	0	1.9	12.9	7.0	2.5	22.6	88669	1.0	10.7	35.9	8.6	69.7	9.6	34.0	24.0	142.7	15.1	27.0	6.5	33.6	15.1	22.0	311.2	0.1	244.4	235.8	5.5	13.4	2.0	23.3	3.4	87163	5.2	-1	1	0	2014-04-02
2509	0	0.8	12.3	5.1	3.6	21.5	71551	2.0	13.2	38.7	6.6	75.7	7.8	2.1	23.7	152.9	16.7	50.1	2.4	40.0	27.3	35.3	173.3	0.6	50.3	93.1	1.2	11.8	0.6	20.4	4.3	71403	4.5	0	0	0	2008-04-21
2510	0	1.9	12.9	7.0	2.5	22.6	88669	1.0	10.7	35.9	8.6	69.7	9.6	34.0	24.0	142.7	15.1	27.0	6.5	33.6	15.1	22.0	311.2	0.1	244.4	235.8	5.5	13.4	2.0	23.3	3.4	87163	5.2	-19	44	25	2015-08-07
